ds,volume,vix,interest_rate,cpi,y,cap,prophet_forecast,residual,lgb_correction,final_forecast
2015-03-20,31761400.0,13.020000457763672,0.12,236.222,4458.54,26515.992,4461.026434649682,-2.486434649682451,-29.30640413705444,4431.720030512628
2015-03-21,31761400.0,13.020000457763672,0.12,236.222,4410.792,26515.992,4452.893318882805,-42.10131888280466,-29.30640413705444,4423.586914745751
2015-03-22,31761400.0,13.020000457763672,0.12,236.222,4410.792,26515.992,4454.1251355844215,-43.33313558442114,-29.30640413705444,4424.818731447367
2015-03-23,17268500.0,13.40999984741211,0.12,236.222,4445.54,26515.992,4460.9067975687285,-15.366797568728543,-15.363806306476782,4445.542991262252
2015-03-24,22445300.0,13.619999885559082,0.12,236.222,4430.99,26515.992,4460.956118039997,-29.966118039997127,-29.96629517400893,4430.989822865988
2015-03-25,41581400.0,15.4399995803833,0.12,236.222,4329.29,26515.992,4374.509266479077,-45.219266479077305,-45.21772501775941,4329.291541461318
2015-03-26,47846300.0,15.800000190734863,0.12,236.222,4315.26,26515.992,4365.131201449292,-49.87120144929213,-49.871101742405344,4315.260099706887
2015-03-27,33878400.0,15.069999694824219,0.12,236.222,4332.86,26515.992,4376.507311597169,-43.64731159716939,-11.146551504379747,4365.360760092789
2015-03-28,33878400.0,15.069999694824219,0.12,236.222,4370.788,26515.992,4366.3460228037,4.441977196299376,-11.146551504379747,4355.19947129932
2015-03-29,33878400.0,15.069999694824219,0.12,236.222,4370.788,26515.992,4365.023273742596,5.764726257403709,-11.146551504379747,4353.876722238216
2015-03-30,30570200.0,14.510000228881836,0.12,236.222,4382.82,26515.992,4434.759977646827,-51.939977646827174,-51.942989184441316,4382.816988462386
2015-03-31,30488100.0,15.289999961853027,0.12,236.222,4333.69,26515.992,4393.222818683069,-59.53281868306931,-59.5317702693156,4333.691048413753
2015-04-01,32970500.0,15.109999656677246,0.12,236.222,4311.26,26515.992,4399.628301183018,-88.36830118301805,-88.36336960322114,4311.264931579797
2015-04-02,19164200.0,14.670000076293945,0.12,236.222,4316.01,26515.992,4410.604025318397,-94.59402531839714,-62.33695558347809,4348.2670697349195
2015-04-03,19164200.0,14.670000076293945,0.12,236.222,4316.01,26515.992,4390.345075792092,-74.33507579209163,-62.33695558347809,4328.008120208614
2015-04-04,19164200.0,14.670000076293945,0.12,236.222,4331.9580000000005,26515.992,4375.343019495963,-43.3850194959623,-62.33695558347809,4313.006063912485
2015-04-05,19164200.0,14.670000076293945,0.12,236.222,4331.9580000000005,26515.992,4368.993140647365,-37.03514064736464,-62.33695558347809,4306.656185063887
2015-04-06,24451100.0,14.739999771118164,0.12,236.222,4350.98,26515.992,4406.612505574027,-55.632505574027164,-55.63043159814151,4350.982073975885
2015-04-07,19379400.0,14.779999732971191,0.12,236.222,4344.08,26515.992,4396.907665475708,-52.82766547570827,-52.82754956216746,4344.080115913541
2015-04-08,25866900.0,13.979999542236328,0.12,236.222,4375.96,26515.992,4437.740528654025,-61.78052865402515,-61.7794658208749,4375.96106283315
2015-04-09,23114700.0,13.09000015258789,0.12,236.222,4403.95,26515.992,4480.9060835033315,-76.95608350333168,-25.715930622117053,4455.190152881214
2015-04-10,17164300.0,12.579999923706055,0.12,236.222,4422.02,26515.992,4478.560251503109,-56.540251503108266,-68.14437034681357,4410.415881156295
2015-04-11,17164300.0,12.579999923706055,0.12,236.222,4379.397999999999,26515.992,4458.781779231748,-79.38377923174903,-68.14437034681357,4390.637408884934
2015-04-12,17164300.0,12.579999923706055,0.12,236.222,4379.397999999999,26515.992,4447.910721405454,-68.51272140545461,-68.14437034681357,4379.76635105864
2015-04-13,17783500.0,13.9399995803833,0.12,236.222,4409.21,26515.992,4402.725925205343,6.484074794657317,6.483833457201653,4409.209758662544
2015-04-14,23755700.0,13.670000076293945,0.12,236.222,4397.64,26515.992,4418.452373236996,-20.81237323699588,-20.810386023957626,4397.641987213038
